Index,Magnitude,Place,Time,Type,Titel, Timestamp
49,0.82,5 km SW of Idyllwild, CA,2024-01-09 16:24:13,earthquake,M 0.8 - 5 km SW of Idyllwild, CA
50,1.97000003,2 km NNE of Pāhala, Hawaii,2024-01-09 16:21:55,earthquake,M 2.0 - 2 km NNE of Pāhala, Hawaii
51,1.6,54 km NW of Toyah, Texas,2024-01-09 16:21:29,earthquake,M 1.6 - 54 km NW of Toyah, Texas
52,0.9,6 km SW of Idyllwild, CA,2024-01-09 16:21:13,earthquake,M 0.9 - 6 km SW of Idyllwild, CA
53,2.87,14 km NE of Ashford, Washington,2024-01-09 16:17:18,earthquake,M 2.9 - 14 km NE of Ashford, Washington
54,1.83,0 km NNW of Pacheco, CA,2024-01-09 16:06:32,earthquake,M 1.8 - 0 km NNW of Pacheco, CA
55,0.74,2 km ENE of The Geysers, CA,2024-01-09 16:06:11,earthquake,M 0.7 - 2 km ENE of The Geysers, CA
56,3.0,5 km W of Petersville, Alaska,2024-01-09 16:05:15,earthquake,M 3.0 - 5 km W of Petersville, Alaska
57,0.75,2 km N of The Geysers, CA,2024-01-09 16:00:26,earthquake,M 0.8 - 2 km N of The Geysers, CA
58,1.3,4 km S of Idyllwild, CA,2024-01-09 15:54:24,earthquake,M 1.3 - 4 km S of Idyllwild, CA
59,1.21,8 km SSW of Beaumont, CA,2024-01-09 15:47:42,earthquake,M 1.2 - 8 km SSW of Beaumont, CA
60,0.81,5 km W of Cobb, CA,2024-01-09 15:32:05,earthquake,M 0.8 - 5 km W of Cobb, CA
61,4.9,169 km SE of San Jose Village, Northern Mariana Islands,2024-01-09 15:31:31,earthquake,M 4.9 - 169 km SE of San Jose Village, Northern Mariana Islands
62,1.49,29 km ESE of West Yellowstone, Montana,2024-01-09 15:18:50,earthquake,M 1.5 - 29 km ESE of West Yellowstone, Montana
63,1.4,31 km NW of Four Mile Road, Alaska,2024-01-09 14:50:21,earthquake,M 1.4 - 31 km NW of Four Mile Road, Alaska
64,1.86,28 km SE of Bodie, CA,2024-01-09 14:14:53,earthquake,M 1.9 - 28 km SE of Bodie, CA
65,0.83,4 km SSE of Banning, CA,2024-01-09 14:13:50,earthquake,M 0.8 - 4 km SSE of Banning, CA
66,0.35,29 km ESE of West Yellowstone, Montana,2024-01-09 13:59:07,earthquake,M 0.4 - 29 km ESE of West Yellowstone, Montana
67,1.7,63 km NNE of Van Horn, Texas,2024-01-09 13:53:21,earthquake,M 1.7 - 63 km NNE of Van Horn, Texas
68,1.6,41 km E of Denali National Park, Alaska,2024-01-09 13:50:24,earthquake,M 1.6 - 41 km E of Denali National Park, Alaska
69,0.83,6 km NW of Rialto, CA,2024-01-09 13:44:12,earthquake,M 0.8 - 6 km NW of Rialto, CA
70,1.9,13 km NNW of Fox River, Alaska,2024-01-09 13:42:42,earthquake,M 1.9 - 13 km NNW of Fox River, Alaska
71,0.51,7 km WNW of Saratoga, CA,2024-01-09 13:32:14,earthquake,M 0.5 - 7 km WNW of Saratoga, CA
72,1.41,29 km SE of Bodie, CA,2024-01-09 13:31:07,earthquake,M 1.4 - 29 km SE of Bodie, CA
73,1.5,38 km N of Chase, Alaska,2024-01-09 13:27:43,earthquake,M 1.5 - 38 km N of Chase, Alaska
74,0.88,5 km WNW of Cobb, CA,2024-01-09 13:26:56,earthquake,M 0.9 - 5 km WNW of Cobb, CA
75,1.64,29 km ESE of West Yellowstone, Montana,2024-01-09 13:17:27,earthquake,M 1.6 - 29 km ESE of West Yellowstone, Montana
76,0.62,10 km W of Toms Place, CA,2024-01-09 13:03:43,earthquake,M 0.6 - 10 km W of Toms Place, CA
77,1.5,117 km E of Cordova, Alaska,2024-01-09 13:00:04,earthquake,M 1.5 - 117 km E of Cordova, Alaska
78,1.78,19 km WNW of Stanley, Idaho,2024-01-09 12:53:36,earthquake,M 1.8 - 19 km WNW of Stanley, Idaho
79,1.7,40 km NE of Chase, Alaska,2024-01-09 12:51:47,earthquake,M 1.7 - 40 km NE of Chase, Alaska
80,0.38,29 km ESE of West Yellowstone, Montana,2024-01-09 12:48:44,earthquake,M 0.4 - 29 km ESE of West Yellowstone, Montana
81,2.07,29 km SE of Bodie, CA,2024-01-09 12:41:29,earthquake,M 2.1 - 29 km SE of Bodie, CA
82,1.31,8 km W of Cobb, CA,2024-01-09 12:39:37,earthquake,M 1.3 - 8 km W of Cobb, CA
83,1.79999995,18 km N of Pāhala, Hawaii,2024-01-09 12:38:47,earthquake,M 1.8 - 18 km N of Pāhala, Hawaii
84,1.7,13 km W of Cantwell, Alaska,2024-01-09 12:36:41,earthquake,M 1.7 - 13 km W of Cantwell, Alaska
85,1.84,16 km SW of Toms Place, CA,2024-01-09 12:29:40,earthquake,M 1.8 - 16 km SW of Toms Place, CA
86,1.6,83 km ESE of Denali Park, Alaska,2024-01-09 12:29:17,earthquake,M 1.6 - 83 km ESE of Denali Park, Alaska
87,1.7,23 km WNW of Valdez, Alaska,2024-01-09 12:19:38,earthquake,M 1.7 - 23 km WNW of Valdez, Alaska
88,-0.16,31 km ESE of West Yellowstone, Montana,2024-01-09 12:14:40,earthquake,M -0.2 - 31 km ESE of West Yellowstone, Montana
89,0.7,3 km N of Reno, Nevada,2024-01-09 12:12:23,earthquake,M 0.7 - 3 km N of Reno, Nevada
90,0.76,7 km WNW of The Geysers, CA,2024-01-09 12:01:35,earthquake,M 0.8 - 7 km WNW of The Geysers, CA
91,1.6,70 km ESE of Denali National Park, Alaska,2024-01-09 11:51:28,earthquake,M 1.6 - 70 km ESE of Denali National Park, Alaska
92,0.96,22 km ESE of Little Lake, CA,2024-01-09 11:35:25,earthquake,M 1.0 - 22 km ESE of Little Lake, CA
93,1.4,7 km NE of Houston, Alaska,2024-01-09 11:33:13,earthquake,M 1.4 - 7 km NE of Houston, Alaska
94,1.06,10 km NW of The Geysers, CA,2024-01-09 11:30:30,earthquake,M 1.1 - 10 km NW of The Geysers, CA
95,2.04,21 km W of Palos Verdes Estates, CA,2024-01-09 11:29:55,earthquake,M 2.0 - 21 km W of Palos Verdes Estates, CA
96,1.39,18 km W of Searles Valley, CA,2024-01-09 11:27:23,earthquake,M 1.4 - 18 km W of Searles Valley, CA
97,0.9,13 km NE of Ridgecrest, CA,2024-01-09 11:07:39,earthquake,M 0.9 - 13 km NE of Ridgecrest, CA
98,4.5,45 km SSW of Sado, Japan,2024-01-09 10:55:10,earthquake,M 4.5 - 45 km SSW of Sado, Japan
99,1.19,16 km ENE of Alum Rock, CA,2024-01-09 10:50:08,earthquake,M 1.2 - 16 km ENE of Alum Rock, CA
100,2.7,40 km WSW of Mentone, Texas,2024-01-09 10:23:56,earthquake,M 2.7 - 40 km WSW of Mentone, Texas
101,3.57,63 km N of Arecibo, Puerto Rico,2024-01-09 10:02:13,earthquake,M 3.6 - 63 km N of Arecibo, Puerto Rico
102,5.9,55 km WSW of Sado, Japan,2024-01-09 09:59:10,earthquake,M 5.9 - 55 km WSW of Sado, Japan
103,0.45,9 km WNW of Cobb, CA,2024-01-09 09:57:41,earthquake,M 0.5 - 9 km WNW of Cobb, CA
104,2.97,6 km WSW of Guánica, Puerto Rico,2024-01-09 09:54:54,earthquake,M 3.0 - 6 km WSW of Guánica, Puerto Rico
105,1.07,12 km ENE of Cabazon, CA,2024-01-09 09:50:45,earthquake,M 1.1 - 12 km ENE of Cabazon, CA
106,1.53,19 km N of Avon, Montana,2024-01-09 09:40:33,earthquake,M 1.5 - 19 km N of Avon, Montana
107,0.02,10 km ESE of West Yellowstone, Montana,2024-01-09 09:35:24,earthquake,M 0.0 - 10 km ESE of West Yellowstone, Montana
108,2.91,8 km SE of Esperanza, Puerto Rico,2024-01-09 09:34:08,earthquake,M 2.9 - 8 km SE of Esperanza, Puerto Rico
109,1.8,51 km S of Denali National Park, Alaska,2024-01-09 09:08:58,earthquake,M 1.8 - 51 km S of Denali National Park, Alaska
110,1.2,2 km NNE of Millbrae, CA,2024-01-09 09:06:47,earthquake,M 1.2 - 2 km NNE of Millbrae, CA
111,2.1,10 km NW of Nanwalek, Alaska,2024-01-09 09:06:27,earthquake,M 2.1 - 10 km NW of Nanwalek, Alaska
112,-0.1,49 km ESE of Beatty, Nevada,2024-01-09 09:00:30,earthquake,M -0.1 - 49 km ESE of Beatty, Nevada
113,1.4,16 km ESE of Livengood, Alaska,2024-01-09 08:57:11,earthquake,M 1.4 - 16 km ESE of Livengood, Alaska
114,1.4,59 km WNW of Happy Valley, Alaska,2024-01-09 08:53:20,earthquake,M 1.4 - 59 km WNW of Happy Valley, Alaska
115,5.7,143 km SE of Pangai, Tonga,2024-01-09 08:53:20,earthquake,M 5.7 - 143 km SE of Pangai, Tonga
116,0.87,8 km N of Anza, CA,2024-01-09 08:35:44,earthquake,M 0.9 - 8 km N of Anza, CA
117,1.4,87 km NW of Karluk, Alaska,2024-01-09 08:33:20,earthquake,M 1.4 - 87 km NW of Karluk, Alaska
118,0.83,1 km WNW of The Geysers, CA,2024-01-09 08:33:11,earthquake,M 0.8 - 1 km WNW of The Geysers, CA
119,2.1,68 km W of Tyonek, Alaska,2024-01-09 08:30:06,earthquake,M 2.1 - 68 km W of Tyonek, Alaska
120,1.65,15 km WNW of Ukiah, CA,2024-01-09 08:10:05,earthquake,M 1.7 - 15 km WNW of Ukiah, CA
121,1.29,12 km E of Ocotillo, CA,2024-01-09 08:03:14,earthquake,M 1.3 - 12 km E of Ocotillo, CA
122,3.8,51 km SW of Hughes, Alaska,2024-01-09 07:55:37,earthquake,M 3.8 - 51 km SW of Hughes, Alaska
123,1.6,24 km WNW of Mentone, Texas,2024-01-09 07:53:56,earthquake,M 1.6 - 24 km WNW of Mentone, Texas
124,0.93,6 km WNW of The Geysers, CA,2024-01-09 07:48:11,earthquake,M 0.9 - 6 km WNW of The Geysers, CA
125,0.55,10 km NE of San Martin, CA,2024-01-09 07:46:37,earthquake,M 0.6 - 10 km NE of San Martin, CA
126,1.11,11 km E of Ocotillo, CA,2024-01-09 07:40:54,earthquake,M 1.1 - 11 km E of Ocotillo, CA
127,0.87,6 km W of Cobb, CA,2024-01-09 07:29:07,earthquake,M 0.9 - 6 km W of Cobb, CA
128,0.08,34 km N of Ivanof Bay, Alaska,2024-01-09 07:25:43,earthquake,M 0.1 - 34 km N of Ivanof Bay, Alaska
129,3.46,74 km N of Arecibo, Puerto Rico,2024-01-09 07:17:00,earthquake,M 3.5 - 74 km N of Arecibo, Puerto Rico
130,-0.01,29 km N of Ivanof Bay, Alaska,2024-01-09 07:11:43,earthquake,M 0.0 - 29 km N of Ivanof Bay, Alaska
131,1.96000004,10 km NE of Pāhala, Hawaii,2024-01-09 06:56:18,earthquake,M 2.0 - 10 km NE of Pāhala, Hawaii
132,1.78999996,23 km W of Volcano, Hawaii,2024-01-09 06:54:27,earthquake,M 1.8 - 23 km W of Volcano, Hawaii
133,1.3,62 km S of Whites City, New Mexico,2024-01-09 06:53:14,earthquake,M 1.3 - 62 km S of Whites City, New Mexico
134,0.4,35 km N of Ivanof Bay, Alaska,2024-01-09 06:47:36,earthquake,M 0.4 - 35 km N of Ivanof Bay, Alaska
135,1.4,13 km NW of Ferry, Alaska,2024-01-09 06:46:02,earthquake,M 1.4 - 13 km NW of Ferry, Alaska
136,0.53,32 km N of Ivanof Bay, Alaska,2024-01-09 06:44:49,earthquake,M 0.5 - 32 km N of Ivanof Bay, Alaska
137,0.14,30 km N of Ivanof Bay, Alaska,2024-01-09 06:44:27,earthquake,M 0.1 - 30 km N of Ivanof Bay, Alaska
138,1.1,15 km WSW of Doyle, California,2024-01-09 06:37:54,earthquake,M 1.1 - 15 km WSW of Doyle, California
139,2.7,2 km NW of Tallaboa, Puerto Rico,2024-01-09 06:34:06,earthquake,M 2.7 - 2 km NW of Tallaboa, Puerto Rico
140,1.6,120 km NW of Yakutat, Alaska,2024-01-09 06:25:27,earthquake,M 1.6 - 120 km NW of Yakutat, Alaska
141,5.1,192 km NE of Tual, Indonesia,2024-01-09 06:25:20,earthquake,M 5.1 - 192 km NE of Tual, Indonesia
142,3.42,80 km N of Arecibo, Puerto Rico,2024-01-09 06:21:36,earthquake,M 3.4 - 80 km N of Arecibo, Puerto Rico
143,1.42,4 km NNW of Happys Inn, Montana,2024-01-09 06:19:40,earthquake,M 1.4 - 4 km NNW of Happys Inn, Montana
144,1.26,7 km NNE of Big Bear City, CA,2024-01-09 06:15:38,earthquake,M 1.3 - 7 km NNE of Big Bear City, CA
145,1.7,59 km S of Whites City, New Mexico,2024-01-09 05:58:38,earthquake,M 1.7 - 59 km S of Whites City, New Mexico
146,2.5,50 km ESE of Ugashik, Alaska,2024-01-09 05:56:42,earthquake,M 2.5 - 50 km ESE of Ugashik, Alaska
147,3.43,75 km N of Arecibo, Puerto Rico,2024-01-09 05:54:42,earthquake,M 3.4 - 75 km N of Arecibo, Puerto Rico
148,1.6,13 km NNE of Fox River, Alaska,2024-01-09 05:50:39,earthquake,M 1.6 - 13 km NNE of Fox River, Alaska
